Title,Location,Company,Salary,Sponsored,Description
            Informatician/Data Scientist,"New York, NY",GeneCentrix,$51 - $55 an hour,Sponsored,"GeneCentrix, Inc seeks a full-time Informatician/Data Scientist.
GeneCentrix uses data science, artificial intelligence and analytics, in combination with product invention and software development to pioneer the harnessing of complex scientific data for tissue-targeted drug discovery. We seek to improve the discovery and approval of new drugs and pioneer new areas of personalized medicine.
Our company profile can be viewed at http://www.genecentrix.com, and our software beta can be viewed and tested at http://www.historeceptomics.com.
Job Description
We seek skilled applicants who are able to:
Script/Code new product prototypes
Implement and test new algorithms and data integrations
Write methods and design data science validation tests
Develop simple or complex software functionality but with limited scope
Write basic SQL queries using relational database concepts and schema design principles
Break complex processes into smaller achievable pieces
Integrate scientific applications with other scientific or nonscientific applications
Participate in writing and publishing scientific data science/informatics papers
Contribute to product strategy and business strategy discussions
Basic Qualifications:
1 year experience in informatics research, data science and/or software development
Excellent written and verbal communications skills
Excellent organizational skills
Strong logical analytical thinking
Ability to troubleshoot and solve problems
Preferred Qualifications:
Experience with R or Matlab
Some experience of full stack software development
Advanced degree (master’s, PhD) in the quantitative sciencesApplicants must be US citizens/Green Card holders or have a permit to work in the United States.
Interested applicants should send a cover letter, CV, and three references.
Job Types: Full-time, Part-time
Salary: $51.00 to $55.00 /hour
Work Location:
One location
Multiple locations
Benefits:
Flexible schedule
Parental leave
Paid time off"
Data Scientist,"Minneapolis, MN",Frontline Asset Strategies,None,Sponsored,"Role
We’re currently looking for an experienced Data Scientist with deep technical and statistical knowledge and a proven track record to drive business value using advanced data analysis and machine learning techniques. This position will collaborate with executives and other business departments to execute a variety of analytical projects to improve processes and create efficiencies.
Principal Duties and Responsibilities
Analyze complex data sets to reduce costs and improve customer experience.
Create systems for gathering, extracting, preparing data from multiple sources.
Evaluate call center services and consumer experiences with measurable data points.
Understand operational key performance indicators, report trends and patterns.
Effectively communicate analysis with proper measurements and testing.
Formulate enhancements through system optimizations and continual data analysis.
Champion process improvements assessing pre-and post-process change.
Collaborate across Operations, Compliance, IT, Finance or other departments.
Follow all company policy and procedures.
Display leadership through punctuality, professionalism while performing required duties.
Reinforce a workplace culture of positivity, inclusion, cooperation and respect.
Embrace and promote our company mission and core values.
Other related duties as assigned.
Qualifications
Master's or PHD in Statistics, Mathematics, Computer Science or another quantitative field.
4+ years of experience manipulating data sets and building statistical models.
Proven experience solving complex business problems using Machine Learning techniques like Regression, Classification, Supervised or Unsupervised Recommenders, etc.
Experience using statistical computer languages (R, Python,SQL,PHP, etc.) to manipulate data and draw insights from large data sets.
Must meet requirements of company background check policy requirements.
Measure of Success
Ability to understand business and applications, capture, organize and present data for making better decisions and creating competitive advantages.
Ability to enhance call center services and consumer applications with streamlined data components to improve services through effective measurement and analysis.
Ability to scope, manage and execute assigned projects with effective data visualization.
Hitting goals while promoting a positive attitude true to our mission and core values.
Compensation and Benefits
Very competitive compensation package
Traditional group health insurance through United Healthcare (Gold and Silver plans available)
Group dental/vision/life insurance through Principal
Company matching 401k (4%, immediate vesting)
Paid Time Off
Long-term career growth
Corporate Perks Program
A modern workplace with additional company benefits: monthly happy hours, annual company outings, free office beverages, snacks
Job Type: Full-time
Experience:
relevant: 4 years (Required)
Education:
Master's (Required)
Benefits:
Health insurance
Dental insurance
Vision insurance
Retirement plan
Paid time off
Tuition reimbursement"
Data Scientist,"Richmond, VA",Averhealth,None,Sponsored,"TITLE: Data Scientist
LOCATION: Richmond, VA- Must be local to the area
INTRODUCTION
At averhealth, our mission is to reclaim lives, unite families, and strengthen communities by creating and providing the smartest, most innovative solutions for substance use disorder treatment and recovery. We seamlessly integrate every element of our clients’ testing needs including collections, laboratory services, results reporting, and every step in between. By joining averhealth, you will become part of a friendly and fast-growing organization with an important purpose. averhealth has a direct impact on someone’s road to recovery.
POSITION SUMMARY
averhealth is seeking an enthusiastic Data Scientist to join our growing company. This position reports directly to the Chief Executive Officer. Additionally, this position offers a flexible schedule as well as an awesome opportunity to gain broad experience in data science.
ESSENTIAL DUTIES AND RESPONSIBILITIES include the following. Other duties may be assigned.
Participate in projects, tasks, and activities related to data integration, regression data, data cleaning, descriptive analyses, exploratory analyses, predictive modeling, data mining, text analytics, rapid prototyping, and data visualization.
Collaborate throughout the business to collect, store, access, and analyze data from a variety of sources.
Assist in developing static and interactive data visualizations.
Leverage data / big data to discover patterns and solve strategic analytic business problems using both structured and unstructured data sets across many environments.
Develop analytic capabilities that drive better outcomes for both customers and the company, informing business decisions across a broad range of functions.
Partner with Senior Leadership to develop, maintain, and improve existing strategies.
KNOWLEDGE, SKILLS, AND ABILITIES
Possess demonstrable knowledge in data mining, statistical learning, predictive modeling, mathematical and simulation modeling, forecasting, data visualization, text analytics
Strong oral and written communication skills
Strong problem solving and analytical thinking skills
Ability to extract, merge and analyze data from a wide variety of sources (e.g., relational databases, text and unstructured files, sensor data, image and video files).
Ability to maintain confidential patient and employee information and materials
Ability to prioritize and plan work activities and use time effectively
Ability to work both independently and as part of a team
Motivated self-starter with a desire to develop solutions for the data analytics space using cutting edge computing technology
Proficiency in Microsoft Word, Excel, PowerPoint, and Outlook
Ability to learn other software programs
EDUCATION AND EXPERIENCE
Graduate degree in process in Computer Science, Statistics or Mathematics is strongly desired.
COMPENSATION AND BENEFITS
Competitive Salary based on qualifications
*
Health Insurance
Dental Insurance
Vision Insurance
Life Insurance
Short-Term Disability
Long-Term Disability
401(k)
Paid Time Off
Employee Referral Bonus
Community Outreach Program
and More!
PHYSICAL DEMANDS AND WORK ENVIRONMENT
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this position. Reasonable accommodations may be made to enable individuals with disabilities to perform the functions.
Work inside a clean, well-lit, and well-ventilated office.
While performing the duties of this position, the incumbent is regularly required to talk or hear.
The incumbent frequently is required to use hands or finger, handle, or feel objects, tools or controls.
The incumbent is frequently required to stand; walk; sit; reach with hands and arms; climb or balance; and stoop, kneel, crouch or crawl.
The incumbent must occasionally lift and/or move up to 25 pounds.
The noise level in the work environment is usually moderate.
averhealth is an Equal Opportunity Employer. This document does not create an employment contract, implied or otherwise, other than an “at will” relationship.
Job Type: Full-time
Location:
Richmond, VA (Required)
Work authorization:
United States (Required)
Additional Compensation:
Bonuses
Work Location:
One location
Benefits:
Health insurance
Dental insurance
Vision insurance
Paid time off
Retirement plan
Schedule::
Monday to Friday"
Data Scientist,"Austin, TX",NarrativeDx,None,Sponsored,"NarrativeDx is expanding our software development team and we are looking for a smart, talented data scientist to join our team. For this position we are searching for a data scientist with experience working alongside data and application engineers on commercial products. The position requires experience building data classification models, working with textual data, experience with text parsers and developing sentiment models. Ideal candidates will also have experience developing web applications in python/Django and experience with deployed applications on AWS. This position will be involved in a wide variety of data analysis tasks and development tasks on the engineering team. Candidates must have experience with: python, natural language processing tools, data modeling, SQL and ETL tools and techniques.
Requirements
B.S. in Computer Science, Engineering, or Data Science and 2 years of professional software development experience or equivalent.
2+ years experience with Python
2+ years experience with PostgreSQL or other SQL server
Experience with natural language processing
Experience with sentiment classification
Experience with data modeling techniques
Nice to haves:
Experience with AWS services
Experience with computational linguistics
Experience with Python Django, Flask and Celery
Benefits
NarrativeDx is a 6 year old company with VC backing. We have a great office in downtown Austin with good parking, a great healthcare package, 401K Match and flexible schedules. We are a small close-knit team where we have fun and work smart and we keep our team small by hiring smart experienced people!"
Data Scientist,"Chicago, IL",Precima,None,Sponsored,"About the OpportunityResponsible for generating and leveraging advanced analytics to deliver customer insights in support of working with retailers to build customer-centric strategies. This role is both client-facing as well as developing custom analytic solutions by integrating internal products and services to meet customer needs. This role is an integral part of the data science solution Team. The successful candidate will have relevant retail industry experience and expert capabilities in developing and interpreting segmentation, optimization and statistical modeling for both marketing and merchandising. The candidate will understand the business needs of a retailer or CPG client, as well as the appropriate analytical approach for a given challenge. As a data scientist in the Merch Analytics team, you will be responsible for the management of client data to develop and analyze results and present insights and recommendations back to our clients. Your success in this role will be driven by an understanding of our client needs, and your ability to translate business constraints into analytical deliverables for those clients. You will leverage your analytical background and related retail experience to motivate others to action both internally and with our external clients.Responsibilities Work collaboratively with client to deliver customer insights to support business objectives. Conduct timely quantitative and qualitative evaluation of deliverables by analytics team to support client's business objectives. Evaluate effectiveness of existing merchandising, marketing & promotional strategies and make recommendations for future optimization. Proactively highlight opportunities to develop, enhance, remove existing tools and processes. Incorporate new/enhanced tools and processes. Collaborate to ensure 'shared learnings' across team and clients. As a customer-centric consulting business it is important to infuse a customer perspective into projects/tasks where appropriate. Awareness of customer metrics and its impact to differentiated insights and reco’s is a must. • Link analysis and results to business issue and/or analytic objective.Be a primary client contact in the development and implementation of analytical applications, strategies and tactics based on Precima-developed customer insights and analyses.
Qualifications
Superior analytical/modeling skills and experience with database concepts, python and SQL experience are valuable assets
Strong interpersonal skills - diplomatic, professional and composed
Strong presentation skills, ability to quickly adjust based on client needs
Demonstrated curiosity, initiative and passion for the application of statistical sciences to address business challenges and learning of new statistical/analytical methods
Proven problem solving ability, ability to 'think outside the box'
Strategic thinker, creative and self motivated
Master’s Degree in Statistics, Mathematics, Economics preferred
Excellent ability to be part of multiple projects/initiatives of varying size and complexity, while simultaneously meeting and exceeding deadlines in a diverse environment
Team player with high energy and demonstrated initiative
Ability to translate analytical results into clear written and verbal communication to internal/external stakeholders
Masters in Statistics, Operations Research, Mathematics, Economics, Econometrics, Industrial Engineering, Computer Science
Proficiency in developing original statistical and econometric models in pricing, assortment and marketing mix to support clients in B2B, Retail and CPG areas.
Strong experience on SQL, Python / R.
Proficiency in implementing models using Python or R
Alliance Data is an Equal Employment Opportunity employer. Accordingly, we will make reasonable accommodations to respond to the needs of people with disabilities in accordance with legislation.Alliance Data participates in E-Verify."
Data Scientist,"North Liberty, IA 52317",JMI Labs,None,Sponsored,"BASIC FUNCTION AND RESPONSIBILITY
The data scientist isa member of the JMI scientific team that is intricately involved inrunning analytical experiments in a methodical manner. This person will perform data analysis independentlyand in collaboration with other scientists using a combination of off-the-shelfand JMI proprietary software tools. The person fulfilling this role must haveexpert knowledge of data analysis tools and methods.
This person is also responsible for checking the data integrity ofanalysis results before delivering the data to scientists or after documentshave been generated, making sure the information used is consistent throughoutthe document.
CHARACTERISTIC DUTIES AND RESPONSIBILITIES
Develop a keyscientific understanding of the various microbiology/molecular data that arecollected and reported for all project types
Collaboratewith other scientific staff to understand company data analysis needs anddevise possible solutions, communicating results and ideas to keydecision-makers
Workwith stakeholders throughout the organization to identify opportunities forleveraging company data to drive revenue
Work with endusers to understand data analysis requests and to deliver outputs that have beenchecked for data integrity
Serveas an active member of the Document Review Group, which reviews all key clientdocuments and provides authors with feedback on data integrity and scientificconclusions
Participate inproject kickoff meetings to understand data outputs and analyses that will beneeded to meet the deliverables required per contract
Developprocesses and tools to monitor and analyze model performance and data accuracy
Research anddevelop statistical learning models for data analysis
Implement newstatistical or other mathematical methodologies as needed for specific analysis
Assessthe effectiveness and accuracy of new data sources and data gatheringtechniques
Optimize jointdevelopment efforts through appropriate database use and project design
Manage projectsand meet deadlines in a high intensity, fast-paced environment
Work withsoftware engineers to integrate commonly used analyses with JMI proprietarysoftware tools
Participatein IT data modeling for new or reengineered systems
SUPERVISION RECEIVED
This is a scientific role reporting to the Chief Operating Officer
SUPERVISION EXERCISED
This position does not have any direct reports
QUALIFICATIONS
Master or PhD Degree in biostatistics, publichealth, or related field
3+ years of practical experience with SAS, ETL,data processing, database programming, and data analytics
Biology background
Background in data mining and statisticalanalysis
This is an on-site, full time position at our headquarters in NorthLiberty, Iowa.
If you want to contribute directly tohelp the world combat infectious diseases, we encourage you to send your coverletter and resume.
JMI Laboratories is an equal opportunityemployer. No recruiters or agencies please.
Job Type: Full-time
Experience:
relevant: 3 years (Required)
Education:
Master's (Preferred)
Work authorization:
United States (Required)
Work Location:
One location
Benefits:
Health insurance
Dental insurance
Paid time off"
Data Scientist/Machine Learning Engineer,"Aliso Viejo, CA",Grokstream,"$75,000 - $100,000 a year",Sponsored,"Job Overview:
We are looking for a Data Scientist / ML Engineer who will support our product development and sales efforts by applying and developing ML techniques to automate operational processes. The ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.
Responsibilities for Data Scientist
Mine and analyze data from customer operational data to drive optimization and improvement of product development.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Develop custom data models and algorithms to apply to data sets.
Use predictive modeling to increase and optimize customer experiences
Coordinate with different functional teams to implement models and monitor outcomes.
Develop processes and tools to monitor and analyze model performance and data accuracy.Qualifications for Data Scientist
Strong problem solving skills with an emphasis on product development.
Experience using statistical computer languages (preferably Python) to manipulate data and draw insights from large data sets.
Experience working with and creating data architectures.
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
Excellent written and verbal communication skills for coordinating across teams.
A drive to learn and master new technologies and techniques.
Coding knowledge and experience with Python
Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, Clustering, etc.
Experience querying databases and using statistical computer languages: R, Python, SLQ, etc.
Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.
Experience visualizing/presenting data for stakeholders
Job Type: Full-time
Salary: $75,000.00 to $100,000.00 /year
Experience:
relevant: 1 year (Preferred)
Machine Learning: 1 year (Preferred)
Work Location:
One location
Benefits:
Health insurance
Dental insurance
Vision insurance
Paid time off
Professional development assistance
This Job Is:
A good job for someone just entering the workforce or returning to the workforce with limited experience and education
A job for which all ages, including older job seekers, are encouraged to apply"
            Associate Data Scientist SNKRS,"New York, NY 10011 (Chelsea area)",NIKE INC,None,Organic,"Joining us in Nike’s Digital Innovation Studio in New York City, the Associate Data Scientist, SNKRS App will embed themselves within Nike Digital’s SNKRS digital product management team serving as a data and analytics center of excellence. With our strategic focus on the evolution of the digital launch business and strengthening the consumer’s connection within the Nike digital ecosystem, this position plays a key role in driving sneaker culture forward for both Nike and the Jordan Brand.
We are looking for scientists with tech industry experience to help build our core data products and machine learning and statistical modeling processes. We want someone who loves modeling and writing code, someone who likes to dive in, solve problems, and create premier experiences for Nike consumers.
Key responsibilities:
Use contemporary data science and analytics methods and tools to derive actionable business insights
Master big data fundamentals: gather, clean, and validate large amounts of data on Nike’s cloud platform
Create foundational pipelines and repeatable production queries in our data warehouse to analyze large sets of internal data on billions of consumer interactions
Develop processes and continuous improvement of core projects through automation and process enhancement
Create reports and visualizations of core app features and marketing campaigns to help communicate technical results and concepts to a non-technical audience
Provide ongoing insights and analysis on consumer engagement, experience, and usage of the SNKRS platform
Contribute to larger consumer statistical modeling and machine learning projects
Manage multiple concurrent projects in fast-paced environment

Qualifications
BA/BS degree required; a focus in statistics, econometrics, applied math, or a quantitative behavioral sciences field strongly preferred
2+ years’ experience doing quantitative analysis on digital products or digital marketing experiences is a plus
Required Skills
Ability to work in multiple data environments and perform complex joins, data cleaning, and feature creation using SQL or SQL based languages (Hive) is required
Experience with statistical software, e.g., R or Python
Experience working with real-world, structured and unstructured data
Experience with data visualization, e.g., Tableau
Experience analyzing and manipulating data sets to understand patterns and provide insights
Excellent communications skills, in particular, the ability to communicate technical content to general audience
Core mathematical ability to understand and apply state-of-the-art machine learning algorithms and/or statistical modeling
Preferred Skills
Experience collecting / creating data when the perfect data don’t exist
Consumer experience with Nike digital apps (NTC, NRC, SNKRS, Nike App)
Knowledge of Nike’s physical merchandise and company history
Passion for Nike sneakers and sneaker culture"
Data Scientist,"Phoenix, AZ",Cogent infotect,None,Organic,"""Interest and passion for data analytics insight extraction programming and modeling
Critical thinking to debug programs create strong variables iterate modeling techniques etc.
Curiosity about what the data says and the analytics that extract insights
Perform data manipulation wrangling cleansing and analysis (in Python R )
Knowledge of internal and external data sources
Build iterate and validate predictive models using multiple statistical techniques
Interpret understand and present results to clients
Provide support and assistance for the implementation of predictive models""
Job Type: Contract
Experience:
Machine Learning: 6 years (Preferred)
Data Scientist: 7 years (Required)
R, Python: 6 years (Required)"
            Entry Level Data Scientist,United States,IBM,None,Organic,"Introduction
At IBM we have an amazing opportunity to transform the world with cognitive technology. By using the vast amounts of information available today to identify new patterns and make new discoveries, we are helping cities become smarter, hospitals transform patient care, financial institutions minimize risk, and pharmaceuticals find cures for rare diseases.

Data scientists work with enterprise leaders and key decision makers to solve business problems by preparing, analyzing, and understanding data to deliver insight, predict emerging trends, and provide recommendations to optimize results. Data scientists use a variety of data (structured, unstructured, IoT streaming), analytics, AI tools, and programming languages often using a cloud infrastructure to handle the volume and veracity of data streams.

Armed with data, modeling expertise, and analytic results, the data scientist communicates conclusions and recommendations to stakeholders in an organization's leadership structure. Business acumen is an important skill for data scientists to effectively communicate their findings to business leaders, data scientists need strong consulting, communication, visualization, and storytelling skills.

Your Role and Responsibilities
START DATES FOR THIS POSITION ARE IN 2020

Data Scientists are in demand across IBM's growth areas. If hired, you will be matched to a team based on business demand, location and fit. Join the forward-thinking teams at IBM solving some of the world’s most complex problems – there is no better place to grow your career!

What You’ll Do as an Entry-Level Data Scientist:
You will implement and validate predictive models as well as create and maintain statistical models with a focus on big data.
You will be exposed to and incorporate a variety of statistical and machine learning techniques such as logistic regression, experimental design, generalized linear models, mixed modeling, CHAID/decision trees, neural networks and ensemble models.
You’ll communicate with internal and external clients to understand business needs and provide analytical solutions.
You will use leading edge tools such as COGNOS, Watson Studio and Watson Machine Learning.
You’ll work in an Agile, collaborative environment, partnering with other scientists, engineers, and database administrators of all backgrounds and disciplines to bring analytical rigor and statistical methods to the challenges of predicting behaviors.

Who You Are:
You are great at solving problems, debugging, troubleshooting, and designing & implementing solutions to complex technical issues.
You thrive on teamwork and have excellent verbal and written communication skills.
You have strong technical and analytical abilities, a knack for driving impact and growth, and some experience with programming/scripting in a language such as Java or Python.
You have a basic understanding of statistical programming in a language such as R, SAS, or Python.
You have an interest in, understanding of, or experience with Design Thinking and Agile Development Methodologies

Required Professional and Technical Expertise
Basic understanding of statistical programming in a language such as R, SAS, or Python.
Experience with programming/scripting in a language such as Java or Python.
Knowledge of statistical concepts such as regression, time series, mixed model, Bayesian, clustering, etc., to analyze data and provide insights.

Preferred Professional and Technical Expertise
Advanced knowledge of statistical concepts such as regression, time series, mixed model, Bayesian methods, clustering, etc., to analyze data and provide insights.

About Business Unit
No matter where you work in IBM, you are making an impact. As an Early Professional with IBM, you will be taking on a key role with one of our industry-leading business units to work on the technology that is solving our most challenging problems and changing the way the world thinks.

Your Life @ IBM
What matters to you when you’re looking for your next career challenge?

Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities – where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust – where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.

Impact. Inclusion. Infinite Experiences. Do your best work ever.

About IBM
IBM’s greatest invention is the IBMer. We believe that progress is made through progressive thinking, progressive leadership, progressive policy and progressive action. IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition. Restlessly reinventing since 1911, we are the largest technology and consulting employer in the world, with more than 380,000 IBMers serving clients in 170 countries.

Location Statement
We consider qualified applicants with criminal histories, consistent with applicable law.

Being You @ IBM
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
