Title,Location,Company,Salary,Sponsored,Description
Data Scientist,"Atlanta, GA",Seen by Indeed,None,Sponsored,"Data ScientistPay Rate: $50.00/ HRJob Description: This is a position in the RandD Operations-Product Guidance of the Company. The data scientist's primary focus will be on data analytics including: Drive to build predictive models linking to product performance on markets. Maintain and improve current databases and dashboards. Identify new business opportunities to create new databases and dashboards and/or integrate various databases.

Conduct data mining and text analysis for various projects (eg product reviews survey data). Create tools to collect online data (e.g. customer reviews). Utilize all the relevant and necessary tools (e.g.

Python R SQL Tableau/Power BI QUID)Provide trainings on how to use the analytic tools (databases dashboards predictive models)Document the ways how the analytic tools are created. Do other assigned tasks.Top Skills: Python language knowledge and understandingsome experience with AI or machineryLanguage processingMotivation to learn new things and apply knowledge to role"
Data Scientist,"Atlanta, GA 30313 (Downtown area)","CorTech, LLC",$50 an hour,Sponsored,"Data ScientistPay Rate: $50.00/ HRJob Description: This is a position in the RandD Operations-Product Guidance of the Company. The data scientist's primary focus will be on data analytics including: Drive to build predictive models linking to product performance on markets. Maintain and improve current databases and dashboards. Identify new business opportunities to create new databases and dashboards and/or integrate various databases.

Conduct data mining and text analysis for various projects (eg product reviews survey data). Create tools to collect online data (e.g. customer reviews). Utilize all the relevant and necessary tools (e.g.

Python R SQL Tableau/Power BI QUID)Provide trainings on how to use the analytic tools (databases dashboards predictive models)Document the ways how the analytic tools are created. Do other assigned tasks.Top Skills: Python language knowledge and understandingsome experience with AI or machineryLanguage processingMotivation to learn new things and apply knowledge to role"
            Senior Data Analyst,"Atlanta, GA",Intellispring Technologies Inc.,$50 - $75 an hour,Sponsored,"Job Description
Intellispring Technologies is seeking a full time, on-site Data Analyst to provide technical direction and engineering knowledge for database support activities. Ideal candidate will have experience or capable of managing data warehouse inventories of 100,000 items or more. We are seeking a consultant capable of migrating customer from stand alone excel spreadsheets to a multi user SQL custom database or implementing a off the shelf inventory management solution. Remote work is not authorized. On Site Downtown Atlanta.
RESPONSIBILITIES:
Strong Microsoft Excel skills required.
Work productively, independently, multi-task,and manage priorities effectively.
Design, install, configure, backup, administer,manage, upgrade, troubleshoot, diagnose, test, monitor, and document Microsoft SQL databases.
Provide technical guidance on new database solutions that could help to optimize current and/or future applications/systems.
Provide database technical guidance and DBA support for application development.
Provide database tuning to improve overall performance.
Provide Microsoft SQL Server general user and administrative support.
Monitor and maintain database files and review audit logs in order to identify potential issues.
Ensure that database sizes, drive space, I/0throughput, memory utilization, and logs are properly maintained to maximize system security, performance levels, and availability.
Perform other duties as assigned.
QUALIFICATIONS
MCSA and Developing Microsoft SQL ServerDatabases certifications highly desired
SKILLS AND ABILITIES:
SQL database administration
Reviewing logs and troubleshooting
Designing and implementing SQL databases
EDUCATION:
Bachelor’s Degree with a major in computer science, system analysis or a related field required.
An advanced degree is preferred.
EXPERIENCE:
Minimum of five years of hands-on design, implementation,and administration of databases in Microsoft SQL Server 2012 or 2016 is required. Experience being DBA administrating warehouse inventories of 100,000 items or more.
SALARY RANGE:
Commensurate with education and experience.
ANTICIPATED STARTDATE:
ASAP
License:
MCSA and Developing Microsoft SQL Server Databases (Preferred)
Work authorization:
United States (Required)
This Job Is Ideal for Someone Who Is:
Dependable -- more reliable than spontaneous
People-oriented -- enjoys interacting with people and working on group projects
Adaptable/flexible -- enjoys doing work that requires frequent shifts in direction
Detail-oriented -- would rather focus on the details of work than the bigger picture
Achievement-oriented -- enjoys taking on challenges, even if they might fail
Autonomous/Independent -- enjoys working with little direction
Innovative -- prefers working in unconventional ways or on tasks that require creativity
High stress tolerance -- thrives in a high-pressure environment
Schedule::
Monday to Friday 8am-5pm On Site Downtown Atlanta
Job Types: Temporary, Contract
Salary: $50.00 to $75.00 /hour
Experience:
relevant: 5 years (Preferred)
Full Time Opportunity:
No
Work Location:
One location
Employment Length:
1 - 3 months
4 - 6 months
Varies
This Company Describes Its Culture as:
Detail-oriented -- quality and precision-focused
Innovative -- innovative and risk-taking
Outcome-oriented -- results-focused with strong performance culture
Aggressive -- competitive and growth-oriented
People-oriented -- supportive and fairness-focused
Team-oriented -- cooperative and collaborative
Schedule::
Monday to Friday"
            Insurance Data Scientist,"Atlanta, GA 30326 (Buckhead area)",TransUnion,None,Sponsored,"What We'll Bring:

What We'll Bring:

At TransUnion, we have a welcoming and energetic environment that encourages collaboration and innovation – we’re consistently exploring new technologies and tools to be agile. This environment gives our people the opportunity to hone current skills and build new capabilities, while discovering their genius.

Come be a part of our team – you’ll work with great people, pioneering products and cutting-edge technology

What You'll Bring:
You come in with 1-2 years of professional statistical modeling experience with solid knowledge of GLM, Machine Learning, and AI
Advanced proficiency with one or more statistical programming languages such as R or SAS
Experience writing intermediate SQL queries for data extraction
Ability to clearly articulate ideas to both technical and non-technical audiences
Your strong project management and time management skills including the ability to prioritize and contribute to multiple assignments simultaneously, delegating work when necessary, setting clear goals, and managing customer expectations
You have an advanced degree in fields of quantitative discipline such as Mathematics, Statistics, Engineering, Analytics and other related fields with advanced coursework in statistics
What we love to see:
You have hands on experience in optimization of machine learning algorithm and experience in suing deep learning algorithm
Ph. D. degree in statistics/computer science from a highly accredited university


Impact You'll Make:
Contribute to advanced insurance analytics on topics including utilizing telematics data for risk differentiation, as well as other insurance IoT
Participate insurance analytics tool development projects
Collaborate with internal and external partners to deliver innovative analytical products and insights. You will be directly involved in the development of predictive modeling and business intelligence solutions for clients such as credit lenders, insurance carriers, and other financial services institutions
Contribute to projects involving descriptive, predictive, and prescriptive analysis leveraging a variety of techniques (such as segmentation, logistic regression, survival analysis, principal component analysis, Monte Carlo simulation, scenario and sensitivity analysis, and machine learning)
Lead small projects and/ or work streams as a part of larger projects; this may involve delegating tasks to other team members and managing the team to meet deliverables on time
Dig in by extracting data and performing segmentation and statistical analyses on large population datasets (using languages such as R, SAS, SQL, and Python on Linux and PC computing platforms)
We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, age, disability status, veteran status, marital status, citizenship status, sexual orientation, gender identity or any other characteristic protected by law.

TransUnion's Internal Job Title:

Sr Analyst, Data Science and Analytics"
Data Scientist Healthcare,"Atlanta, GA",Nava Software Solutions LLC,None,Organic,"Role Data Scientist
Location Atlanta GA
Duration One Year
Experience in Data Scientist design and development
Experience with Machine learning
Experience with Heath Care
Experience with Big data Python and R
Job Type: Contract
Additional Compensation:
Tips
Work Location:
One location
Benefits:
Professional development assistance"
            Junior Data Scientist - R / Python - Data Mining / Statistic...,"Atlanta, GA 30305 (Buckhead area)",REPAY,None,Organic,"REPAY is a fast-paced, FinTech company experiencing significant growth and expansion. We are seeking a Junior Data Scientist to develop products that leverage data to make predictions that allow us to improve customer value, increase revenue, and decrease costs.

Job Requirements:
The ideal candidate is capable of identifying and aggregating data sources for research, generating hypothesis, performing ad-hoc analyses on data, comfortable performing basic statistical tests, and developing small programs for deployment. You should have a passion for delivering useful products via actionable insights.

Direct experience as a data scientist / analyst is not required but you must be familiar with basic statistics, experimental design, and coding.

You'll be responsible for:
Maintaining and improving currently deployed models in production
Performing and presenting results on ad-hoc requests
Developing and implementing statistical and machine learning models for data products
Assisting with building and maintaining internal services and architectures for data science
Qualifications:
BA/BSc with relevant background (experimental based sciences and thesis-based programs are preferred)
Ability to work within a Linux/Unix based operating system at the command line
Practical experience of programming in Python
Knowledge of common statistical measures, basic statistical tests, models, and common visualizations
Familiarity with Git
Deep interest in learning theoretical and practical aspects of utilizing data for business
Preferred Qualifications:
MSc with a relevant background or hands on experience with data products
Hands on experience developing machine learning models
Knowledge of Docker and associated container orchestration ecosystems
Familiarity with technical product life cycles and maintenance in a production setting
Experience designing and implementing experiments
Who We Are:
REPAY – Realtime Electronic Payments is an established and fast growing, Financial Technology company. We build great software that enables businesses to move faster by removing friction in payments processing by offering a comprehensive line of electronic payment solutions including debit and credit card processing, ACH processing, instant funding, and electronic bill payment systems with full IVR, text, and mobile capabilities.

Why #REPAYrocks:
Access to online learning platforms like PluralSight, Udemy, AskLynda.
Encourage continuing education including professional conferences and events
Monthly social events including LAN Parties and Happy Hours
Flexible schedule/work from home
Employee bonus program
REPAY has been named by FORTUNE® magazine as one of the Top 50 ""Best Small Workplaces in America"" for 2017! http://reviews.greatplacetowork.com/repay ( http://reviews.greatplacetowork.com/repay )
REPAY was ranked again for the 9th straight year in a row on the Inc. 5000 List of America's Fastest Growing Private Companies for 2019!
REPAY has also been certified as a Great Places to Work company for 2017, 2018 & 2019
Why Join the REPAY Technology Team?

Growing ~ We are the industry-leading, financial-technology provider in the Consumer Finance space and continue to set the standard for application development and delivery.
Awesome Work Environment ~ Casual dress, great snacks and beverages, open-air collaborative team setting.
Great teaming and Work-Life-Balance ~ The team is fun, smart, and collaborative. We truly enjoy working together. We are all self-driven, motivated professionals that do not require micro-management to make sure we honor our work and project commitments.
Leadership Support ~ The founders and leadership team ""get"" and recognize both individual and team performance.
Difficult Problems to Solve ~ We create highly sophisticated payment processing applications and are constantly pushing the boundaries of what is possible on the web, with mobile, SMS, and IVR applications in support of alternative payment channels. We are working on extensive new product and feature development.
Innovation and Ideas ~ We constantly listen to clients and employees to find the best ideas, and we provide the resources necessary to ensure those priorities are implemented quickly."
Data Scientist,"Atlanta, GA",Jar House,None,Organic,"D a t a S c i e n t i s t

Working here is not easy, but it is engaging and fulfilling.
We’ve created an environment that focuses on rewarding bright and driven people!

O u r p h i l o s o p h y:
Hire great people and make the impossible possible.

W h o w e a r e:
We are a forward-thinking, non-traditional real estate investment brokerage. Our passion is bringing properties back to life, adding value to the community and being a part of fulfilling dreams as we turn houses into homes! We purchase an average of 75+ properties each month in more than 40 counties statewide. Our unique and progressive model sees each home through the full life cycle of a property. From acquisition through closing, everything is in-house. Here at Jar House, we believe that we should all find our inner greatness and use it to achieve extraordinary things. Each person should live with purpose and a desire to accomplish what means the most to them. Don’t let others define which path you take - Choose your own road.

W h o y o u a r e:
You are an intelligent, focused and ambitious individual, who values the truth and seeks to achieve the extraordinary. Growth and vision excite you. You have amazing critical thinking and problem-solving skills. You thrive in a fast paced environment and are not intimidated by challenge. You love working and collaborating with a team of fun individuals that embrace the work hard/play hard mentality! A hip company culture would spur you on intellectually and would encourage you to flourish in your position (down for a little ping-pong rivalry?). In this role you will analyze large amounts of raw information to find patterns and build data products that will help improve our company. You will work with a team of highly motivated individuals and will play an essential part in the company.

O v e r v i e w:
We are looking for an experienced Data Scientist with a focus on machine-learning and research. We are working on a novel way to value real estate based on an existing, manual valuation approach that has been successful for years. We are seeking a brilliant individual to help us find new, creative solutions to the difficult problems we face. Once we solve the fundamental problems in the valuation process, we will use this model to expand our business to a national scale.

M u s t H a v e s:
Experience in developing and evaluating machine learning models
Proficiency in Python; object-oriented programming experience a plus
Familiarity with web applications and web services (APIs); experience with Django a plus
W h y u s:
Health Benefits- We have you covered from your head to your toes with medical, dental and vision
Monthly bonus potential based off direct performance and candidates successfully hired
Frequent Company Outings
Relaxed dress code daily...not just on Fridays =)
Game Room
Nap Room
Monthly catered lunches
Good coffee
We are looking for in-house positions only
F i n e r P r i n t:
Type: Full Time
Salary: Competitive"
Data Scientist,"Sandy Springs, GA",IBM,None,Organic,"Introduction
As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities
Data Scientist converts business problems into an analytics solution using their consulting skills, business knowledge to analyze client business issues, formulate hypotheses and test conclusions to determine appropriate solutions methods. A solid foundation typically in statistics, modeling, operations research, computer science and applications, and math. Good data scientists will not just address business problems, they will pick the right problems that have the most value to the organization. A data scientist is effective at deploying an analytics solution for example – a data scientist will most likely explore and examine data from multiple disparate sources. The data scientist will extract, transform, and combine all incoming data with the goal of discovering a previously hidden insight, which in turn can provide a competitive advantage or address a pressing business problem. A data scientist does not simply collect and report on data, but also builds statistical models, determines what it means, then recommends ways to apply the data. Data scientists are inquisitive: exploring, asking questions, doing ""what if"" analysis, questioning existing assumptions and processes. Armed with data, modeling expertise, and analytical results, a top-tier data scientist will then communicate informed conclusions and recommendations across an organization's leadership structure. This particular role requires deep knowledge and extensive exerience in Incentives Design, Operation, Data models and Statistical Analysis.

Location: Sandy Springs, GA



Required Technical and Professional Expertise
Experience in Incentives Designs, Operation, Data Models, and Statistical Analysis
Data analysis
Cognos Analytics
Microsoft products

Preferred Technical and Professional Expertise
Excellent communication skills
Inquisitive, exploring, asking questions, doing ""what if"" analysis

About Business Unit
Accelerating IBM's journey toward an insight-driven cognitive enterprise, redesigning IBM's operating model to continuously align with fundamental market shifts, building advocacy with clients/users and driving new ways of work while embracing speed and agility in everything we do.

Your Life @ IBM
What matters to you when you’re looking for your next career challenge?

Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities – where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust – where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.

Impact. Inclusion. Infinite Experiences. Do your best work ever.

About IBM
IBM’s greatest invention is the IBMer. We believe that progress is made through progressive thinking, progressive leadership, progressive policy and progressive action. IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition. Restlessly reinventing since 1911, we are the largest technology and consulting employer in the world, with more than 380,000 IBMers serving clients in 170 countries.

Location Statement
IBM will not be providing visa sponsorship for this position now or in the future. Therefore, in order to be considered for this position, you must have the ability to work without a need for current or future visa sponsorship.

Being You @ IBM
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
Data Scientist,"Atlanta, GA",NetOrbit,None,Organic,"Job Summary
We are looking for a data scientist that will help us discover the information hidden in vast amounts/multiple locations of data and help us make smarter and faster decisions to deliver even better results. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems that identify areas to drive incremental revenue and predict long term performance and customer activity.
Key Skills
Selecting features, building and optimizing classifiers using machine learning techniques * Data mining using state-of-the-art methods * Enhancing data collection procedures to include information that is relevant for building analytic systems * Processing, cleansing, and verifying the integrity of data used for analysis * Doing ad-hoc analysis and presenting results in a clear concise manner * Creating automated anomaly detection systems and constant tracking of its performance * Developing a robust forecasting model that will predict revenue over a 18 month period based customer behavior, historical activity, and known future improvements/changes * Assisting with the development and implementation of an EDM process * Assist with training and coaching team members on advancing their predictive analytics skills Skills and Qualifications * Bachelor’s Degree in Business, Analytics, Mathematics, or relevant field * Master’s in Data Analytics/Data Science preferred * Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc. * Experience with common data science toolkits, such as R, Python, MatLab, etc. Excellence in at least one of these is highly desirable. * Extensive experience with SAS. (Current tool primarily used) * Great communication skills and the ability to communicate complex concepts in simple terms * Experience with data visualization tools, and the ability to visualize data in an executive consumption format * Good applied statistics skills, such as distributions, statistical testing, regression, etc. * Data-oriented personality
Job Type: Contract
Experience:
SAS: 4 years (Required)
Machine Learning: 4 years (Required)
Naive Bayes: 3 years (Required)
Data Scientist: 5 years (Required)
Data Mining: 4 years (Required)
Contract Length:
1 year
Contract Renewal:
Possible"
