Title,Location,Company,Salary,Sponsored,Description
Data Scientist,"Los Angeles, CA",Seen by Indeed,None,Sponsored,"Responsibilities
Under the direction of the MSO and Principal Investigator, the Analyst will be supporting the statistical evaluation of medical care and medical data. The incumbent will co-manage large amounts of healthcare data including Medicaid enrollment files and claims, all-payer hospital discharge data, and other clinical data. Responsibilities will include complex data management/manipulation, data cleaning, constructing analytic models that incorporate statistical techniques, using bivariate and multivariate analysis. The Analyst will also work closely with counterparts providing the data from an external organization, and coordinate all data transfers to UCLA while ensuring ongoing data security and compliance with a detailed data use agreement governing all use of said data. The Analyst will present the results of complex data analyses to internal and external stakeholders in graphical and tabular formats for presentations, progress reports, and peer-reviewed publications and interpret statistical findings with respect to access to care, quality, and cost.
Qualifications
Knowledge and experience with database spreadsheet software and statistical package on PC computing environment. Extensive experience with statistical programming with SAS. Extensive experience with analyzing large administrative healthcare databases. Effective oral and written communication. Ability to perform task and duties with minimal supervision. Ability to maintain confidential research records. Some medical and/or health services research knowledge. Abiltity to resolve software and/or statistical problems and provide needed solutions. Skill in analyzing information, problems, situations, practices or procedures to define the problem or objective, identify relevant concerns, patterns tendencies or relationships, formulate logical and objective conclusions, recognizing their implications, and recommend/implement the appropriate solutions. Familiarity with data modeling procedures. Preferred: Master’s degree or higher in Biostatistics/Statistics or related field. Familiarity with medical terminology. Ability to establish and maintain cooperative working relationships with Department faculty, staff and administrators.
UCLA is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status."
Data Scientist,"Los Angeles, CA 90079",UCLA Health,None,Sponsored,"Responsibilities
Under the direction of the MSO and Principal Investigator, the Analyst will be supporting the statistical evaluation of medical care and medical data. The incumbent will co-manage large amounts of healthcare data including Medicaid enrollment files and claims, all-payer hospital discharge data, and other clinical data. Responsibilities will include complex data management/manipulation, data cleaning, constructing analytic models that incorporate statistical techniques, using bivariate and multivariate analysis. The Analyst will also work closely with counterparts providing the data from an external organization, and coordinate all data transfers to UCLA while ensuring ongoing data security and compliance with a detailed data use agreement governing all use of said data. The Analyst will present the results of complex data analyses to internal and external stakeholders in graphical and tabular formats for presentations, progress reports, and peer-reviewed publications and interpret statistical findings with respect to access to care, quality, and cost.
Qualifications
Knowledge and experience with database spreadsheet software and statistical package on PC computing environment. Extensive experience with statistical programming with SAS. Extensive experience with analyzing large administrative healthcare databases. Effective oral and written communication. Ability to perform task and duties with minimal supervision. Ability to maintain confidential research records. Some medical and/or health services research knowledge. Abiltity to resolve software and/or statistical problems and provide needed solutions. Skill in analyzing information, problems, situations, practices or procedures to define the problem or objective, identify relevant concerns, patterns tendencies or relationships, formulate logical and objective conclusions, recognizing their implications, and recommend/implement the appropriate solutions. Familiarity with data modeling procedures. Preferred: Master’s degree or higher in Biostatistics/Statistics or related field. Familiarity with medical terminology. Ability to establish and maintain cooperative working relationships with Department faculty, staff and administrators.
UCLA is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status."
            Senior Data Scientist - Disney +,"Glendale, CA",Disney Streaming Services,None,Sponsored,"Data Scientists in the Disney+ Content Analytics team are the insights and modeling partner for the Disney+ studio content team. They focus on informing content decisions for Disney+ through data modeling, analysis, and actionable insight generation. These analysts focus on improving business results through the combination of statistical rigor, data analysis, and fast paced execution with an emphasis on driving actionable business recommendations.

Responsibilities :
Modeling, Forecasting, and Opportunity Sizing: Both to set goals and help evaluate potential opportunities, this data scientist will be tasked with creating models that ascribe value to content and can inform content development decisions.
Experimentation: Develop test plans, define success metrics, and ensure accurate results methodologically, technically, and statistically.
Deep-Dive Analysis: Analyze user behavioral data to identify patterns, uncover opportunities, and create common understanding of how people are interacting with the platform and content.
Work with other data teams to improve platform capabilities around data modeling, testing platforms, data visualization, and data architecture.


Basic Qualifications :
6+ years of analytical experience.
4+ years work experience using SQL
3+ years Python/R or other statistical programming language
Experience with advanced data modeling and predictive analytics
Familiarity with data exploration and data visualization tools like Tableau, Looker, Chartio, etc.
Understanding of statistics concepts (e.g., hypothesis testing, regression analysis).
Strong communication skills, as well as written and verbal presentation skills.
Advanced degree in an analytical field or equivalent experience"
"Data Scientist / BI Developer - Python, R, SAS (Remote)","Los Angeles, CA",XLFN Consulting,"$110,000 - $120,000 a year",Sponsored,"XLFN Consulting provides large organizations with access to exceptional talent and job seekers with the opportunity to work on interesting projects at leading organizations.
We are looking for a data scientist and / or data engineer with strong skills in integration of complex and interactive visualizations/analytic solutions, cloud computing and data management.
Remote work is available for this role.
Required Characteristics:
BS in Computer Science or equivalent field
Proficiency with Python, R, MySQL, and MS SQL
Working knowledge of Linux systems and relational databases
Expertise in SAS development (Statistical Analysis Software)
Experience with interactive visualization development using Python and R/Shiny
5+ years of Cloud Experience (including Azure and Google Cloud)
5+ years of experience integrating front and back-end technologies to create modern and secure interactive analytic tools and visualizations
Strong interpersonal, oral, and written communication skills
Ability to build and maintain relationships with customers and colleagues
Valued Characteristics:
Intellectually curious, passionate, and inventive
Experience with Shiny, Shiny Server, R-Studio Connect, Shiny Proxy, and / or PowerBI
Expertise in PowerBI and Power Query
Experience with Data Factory and Data Bricks
Understanding of ""M"" language
Experience with and willingness to support project management, Agile and documentation in Jira
MS/Ph.D in Computer Science or equivalent field from a high ranking university
Job Type: Full-time
Salary: $110,000.00 to $120,000.00 /year
Experience:
integrating front and back-end technologies: 5 years (Preferred)
interactive visualization development using Python & R/Shiny: 5 years (Preferred)
SAS Development: 5 years (Preferred)
Python: 5 years (Preferred)
Education:
Bachelor's (Required)
Work authorization:
United States (Required)
Work Location:
Fully Remote"
            Senior Data Scientist,"Los Angeles, CA 90079",UCLA Health,None,Sponsored,"Responsibilities
The Senior Data Scientist is responsible for developing machine learning predictive analytics models by applying advanced statistical and computational methods, and innovating use of data to support UCLA Health Sciences initiatives that drive clinical, financial and operational improvement. The incumbent is expected to understand the clinical, financial and operational issues to be solved and to determine targeted individual and/or linked healthcare data sets (structured and unstructured). The incumbent leverages machine learning tools and algorithms best-suited to solve these issues, interprets outputs, and presents findings to various levels of stakeholders and technical experts.
Qualifications
Master's degree in Computer Science, Mathematics, Statistics, Engineering, or other computational/quantitative field is highly desired. PhD is preferred.
5 or more years of advanced data analysis experience and expertise in diverse statistical, data mining techniques and technologies including: Neural networks; deep learning; Naïve Bayes; regression, random forest, clustering, text mining, social network analysis;
Natural Language Processing (NLP); supervised and unsupervised machine learning, model validation, testing, and communication; and Machine Learning frameworks like scikit-learn, Tensorflow, Keras, pandas, etc.
Experience working with Microsoft Azure cloud based technologies is preferred
Proficiency with a statistical language: R or Python is required and analytical documentation: Jupyter or iPython notebook is preferred
Strong programming skills: shell scripting, Python, Perl, C++, SQL and Java are preferred
Experience working with Tableau, Power BI, matplotlib, ggplot2 or similar data visualization tool is required
Experience with healthcare data and/or EHR data is preferred
Demonstrated experience synthesizing and analyzing large data and making program recommendations based on that data is required
Excellent written and communication skills explaining complex quantitative models to business stakeholders, management and executives
Experience performing statistical analysis to quantify the limitations of models
Ability to take the inferences from data and produce decisions from it that will optimize objectives
Ability to transfer knowledge and concepts to the team that is implementing the actual system
Ability to grasp data and see patterns or make inferences at a high level
Strong problem-solving and metadata skills
Strong staff development, leadership and coaching skills
Strong organizational and interpersonal skills will be needed in our collaborative and fast-paced team
Demonstrated ability to influence and shape consensus, lead group discussions and presentations to clinical and business operations leaders from across the organization
UCLA is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status."
            Associate Data Scientist,"Glendale, CA",Beyond Limits,None,Organic,"Position Overview
Beyond Limits is looking for new and recent grads who thrive on new and stimulating challenges and seek out-of-the-box innovative ideas. In this role, you will have the opportunity to immediately utilize skills you’ve developed in school. You will work in small teams, allowing your voice to be heard and your ideas measured. Our Software Engineers and Data Scientists work closely together, so the ability to work in a collaborative manner is a skill valued greatly at our company.
You will partner with senior Date Scientists to work on projects in energy, healthcare, finance, logistics, or transportation fields.

Job Duties/Responsibilities:
Ingest, organize, and analyze data from various sources
Utilize machine learning and statistical models
Implement in-house AI technology
Build visualizations that convey results to the internal team and external clients
Stay up-to-date with the latest ML/AI techniques
Required Qualifications:
Must be a current student graduating prior to September of 2020 OR have received a degree in a quantitative field (e.g. statistics, mathematics, computer science, data science, neuroscience, physics) within the last 3 years from time of start
Programming experience in Python, R, and/or Matlab
Strong verbal and written interpersonal skills
Familiar with common data science techniques, such as:
Linear / logistic regression
Decision tree algorithms (e.g. random forest)
Clustering algorithms (e.g. K-means)
Support vector machine (SVM)
Artificial neural networks
Experience with common data science tools, such as:
Numpy
Pandas
Matplotlib
Plotly
Preferred Qualifications:
1-2 years of experience solving data science problems
Research experience with high impact publications
Experience working in an industry setting
Domain expertise in energy, healthcare, finance, and/or logistics

About Beyond Limits
Beyond Limits is a pioneering Artificial Intelligence company with a technology legacy in Space Exploration. A spinoff of NASA's Jet Propulsion Lab and Caltech, Beyond Limits provides advanced intelligence solutions that go far beyond conventional AI. Our cognitive computing technology mimics human thought processes and provides autonomous reasoning to aid human-like decision-making.

Beyond Limits provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, Beyond Limits complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.

Beyond Limits expressly prohibits any form of workplace harassment based on race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, genetic information, disability, or veteran status. Improper interference with the ability of Beyond Limit’s employees to perform their job duties may result in discipline up to and including discharge."
Data Scientist,"Beverly Hills, CA",NBCUniversal,None,Organic,"Fandango is seeking a driven, analytically curious and entrepreneurial data scientist to be part of our exciting Business Intelligence team.
Job Requirements
 Scoping: Partner with other scientists and Subject Matter Experts (SME's) to fully define business problems and research questions;
 Data Engineering: Identify, extract and clean data to be loaded into modeling environments. Data could be structured, unstructured and/or text data (includes transactional, web data, social data, emails, and streaming data)
 Feature Engineering: Identify relevant features, remove redundancies and construct a tighter ‘data frame’ representation for efficient modeling/analysis
 Modeling: Conduct advanced analytics leveraging predictive modeling, machine learning, simulation, optimization and other techniques to deliver insights or develop analytical solutions to achieve business requirements.
 Model Validation/Parameter-Tuning/Debugging: Support on efforts to develop scalable, efficient, automated solutions for large scale data analyses, model development, model validation and model implementation using appropriate metrics. Cognizant of the bias-variance trade-off.
 Presentation of business Value: Identify, quantify and highlight the opportunities and risks that arise out of the modeling step to team members and executives.
 Multi-tasking, Ad-hoc analytics and reporting: Develop mathematically sound calculations with embedded business logic for quick-turnaround projects (did we mention this is a fast-paced environment). Multi-task when required and prioritize appropriately.  Ownership and team-spirit: Own the projects from data gathering to delivery and assist other teams(technical and non-technical) when required through education
Qualifications/Requirements

2+ years of work experience in Data Science, Predictive, and Advanced Analytics
 Graduate degree in a quantitative field (Computer Science, Mathematics, Physics, Engineering, Statistics, Econometrics, Operations Research, etc.)
 Strong machine learning and statistical modeling expertise, such as regression, time series models, random forests, clustering, neural networks
 Advanced knowledge of SQL and experience extracting and analyzing large datasets
 Proficiency in one or multiple statistical/machine learning languages (R, Python, SAS, Matlab, Stata, etc.)  Experience with BI reporting tools (Tableau, MicroStrategy, BusinessObjects etc.)
 Must be available and willing to work extended hours as occasionally needed including weekends and holidays to meet business needs
Sub-Business
Fandango
Career Level
Experienced
City
Beverly Hills
State/Province
California
Country
United States
About Us
At Fandango, we love movies. From showtimes and ticketing, to engaging content and innovations in movie going- we strive to deliver the perfect movie going experience—anytime, anywhere. And to be the go-to destination for moviegoers, we think it’s all about collaboration. Anyone can build a website or app, but it takes a special group across many disciplines to create an experience that can live across multiple platforms and connected devices. Thanks to an exceptional team, we’re working hard to make Fandango a little bit better every day. Our 30 million (and growing!) online and mobile monthly visitors can now buy movie tickets at over 25,000 screens nationwide and stay for exclusive trailers, our award-winning original video series, movie reviews, celebrity interviews and more. So, if you’re looking to inspire, be inspired and work at the intersection of entertainment and technology look no further than Fandango. Visit Fandango.com/careers for a behind-the-scenes look at Fandango and follow us on LinkedIn for the latest news and updates. Fandango is an NBCUniversal Company."
            Junior Data Scientist,"Los Angeles, CA 90048",Ranker,None,Organic,"We're looking for a Junior Data Scientist to help us start the next chapter of data science initiatives at Ranker.

Ranker is the top destination for votable content on the internet. Our highly engaged visitors consistently generate 50 million upvotes and downvotes on practically everything in pop culture. All that voting translates into a tremendous amount of psychographic data, revealing consumer tastes in everything from movies, to TV, to music, to sports, to brands. We want to turn all this data into something that studios, networks, and brands can use to guide their decisions, and we need your help to do it.

As a Junior Data Scientist, you would play a huge role in determining how this data is leveraged and packaged. Our ideal candidate will have a solid foundation in research methods and statistics, but because we’re building something entirely new, you’ll need to apply that knowledge to answer questions that may not be neatly framed. You’ll help to build APIs, perform analyses, develop user-facing products, and more.

You don’t have to worry about a “cold start” — Ranker already has the data infrastructure and talented engineering team you need to get to work immediately, and your work will be directed by a Senior Data Scientist. Our data is structured and ready for analysis, allowing you to start digging into consumer tastes and building sophisticated models that studios, brands, and marketers can use to inform data-driven decisions and campaigns.

We’re already expanding beyond our growing core media business and building offshoot products in both the B2B and B2C space. Much of your work will be centered around building these products, taking Ranker’s IP and building it into new tools. Our current budding projects include a TV/movie recommendation app and a B2B business around psychographic insights.

Based in the heart of Los Angeles and established 10 years ago, the company is solidly profitable and has 80+ employees and growing.

What You’ll Do:
Translate business requirements into research components and data requirements
Provide detailed analysis that will uncover new insights and identify new sales, marketing, and growth opportunities
Transform complex analyses into compelling, easy-to-understand case studies and user stories
Maintain and improve upon existing models and tools for internal marketing and sales teams.
What You’ll Need:
Master’s degree (Ph.D. preferred) in statistics, computer science, mathematics, data science, or other quantitative science (psychology, economics, physics, etc.)
4+ years of relevant work experience in statistics, data science, or machine learning (or Ph.D. in a quantitative field)
A passion for using data to tell stories and using visualization tools to help unlock meaningful insights.
The ability to interpret and communicate complex concepts clearly to non-technical team members
Experience with quantitative analysis
A solid understanding of statistics and a demonstrated ability to understand the statistical basis of crowdsourcing
Programming and scripting skills (SQL, PHP, R, Python, etc.)
Knowledge of modern (tensorflow, keras, and pytorch) machine learning algorithms (clustering, regression, classification, optimization)
Demonstrable experience in research methodology
You Will Enjoy The Role If:
You get excited about taking ownership of problems and solving them in a fast-paced and scrappy environment, working cross-functionally with both technical and non-technical people
You want a strong data infrastructure and engineering team to back you up, rather than having to start from scratch
You are output-focused and see data science as a powerful tool to get things done, rather than as an end in itself
You are a strong critical thinker with a passion for understanding complex issues and are comfortable working on ambiguous problems
Your passion and curiosity for data is infectious"
Data Scientist,"Venice, CA",System1,None,Organic,"System1 is hiring a Data Scientist! We are looking for candidates that will bring analytical skills and statistical methods to measure the quality of our products, and to understand the behavior of end-users, advertisers, and publishers. As a Data Scientist you will collaboratively build optimizations that operate in real-time on a significant amount of daily revenue. You should be comfortable working in a highly cross-coordinated team environment where you will collaborate daily with engineering, account management and product teams.
System1 is an organization centered around data and data products. We firmly believe data should inform and guide every quantitative decision process. We hire people who can utilize their broad set of technical skills to address technical challenges. At System1, our Data Science team is responsible for work across the following: engineering, business, product, ETL, serving, analytics, and operations.
The Role You Will Have
Work on multiple projects simultaneously solving statistical problems applied to data science
Translate business requirements into research components and data requirements
Make modeling decisions for key revenue-generating projects
Be a key part of developing core optimization architectures
Proactively seek out optimization opportunities with business stakeholders

What You Will Bring
Master’s degree in statistics, computer science, mathematics, data science, or other quantitative science (psychology, economics, physics, etc.)a quantitative discipline, ideally in statistics.
2+ years of relevant experience applying advanced statistical approaches to data science problems
Expertise with production data science solutions using Python and R
Work experience with various database technologies such as Redshift, SQL
Some Adtech experience is preferred

What We Have To Offer
Free Uber/Lyft to and from work every day!
Collegial and collaborative team with highly intelligent and motivated coworkers
Cross-team lunches and demos to foster learning
Unlimited Paid Sick Time, Competitive PTO and Benefits package
Daily catered meals and fully stocked kitchen
Bi-weekly happy hour at various bars, restaurants, and venues across Los Angeles
Bi-weekly onsite happy hour
Catered dinner on Tuesdays and Thursdays
Weekly fitness class with private trainer: high intensity training, yoga, beach volleyball, beach soccer, ultimate frisbee
Company parties and outings: Skyzone indoor skydiving, Medieval Times, Karaoke, etc."
Data Scientist,"Los Angeles, CA",Meredith Corporation,None,Organic,"Job Title
Data Scientist
Job Description
Bizrate Insights:
With over 25 million surveys collected annually from thousands of retailers worldwide, Bizrate Insights is one of the largest sources of verified customer-generated seller ratings and reviews, helping both retailers and consumers make informed decisions. Bizrate Insights’ core solutions cover online visitors and buyers as well as retail store buyers, allowing retailers of all sizes to build best-in-class customer experiences, gain competitive intelligence, and attract more qualified traffic.
Why you should work with us:
Our biggest investment is in people like you. At Meredith, we offer comprehensive health benefits and 401k matching, plus career-boosting opportunities like tuition reimbursement, learning sessions and attendance at tech conferences to help you thrive.
For this role at Bizrate Insights, you can expect the fast-paced excitement of a startup with the rock-solid support from Meredith, an industry leader, with some nice perks on the side. If you are a passionate technologist who can get a lot done while having fun, come join a team of like-minded, skilled professionals where you can learn and share your knowledge!
You will:
Participating in activities across the data science lifecycle: business case definition, data collection, cleaning, integration, analysis, visualization, feature engineering, modeling with machine learning algorithms, interpreting the models/results, and reporting.
Communicating and coordinating effectively with product managers, software engineers, analytical groups and customer-facing teams in an agile environment.
Working with data processing pipelines for analyzing gigabyte- to terabyte-scale data from multiple sources.
Designing actionable data products based on statistical analysis and machine learning methods and working on their deployment to enterprise systems to move the needle for business at Meredith / Bizrate Insights.
Learning continuously in the areas of data science, machine learning, ad technology, marketing operations, data ecosystems, content operations, social media analysis and industry standard measurements.
You have:
Degree in computer science, engineering, statistics, or other quantitative fields. (Master’s degree is preferred)
Solid understanding of popular machine learning algorithms including supervised, un-supervised, and semi-supervised ones. What is the difference between algorithms? What algorithm would you choose for a given problem and why? What are the pros and cons of these algorithms? What is cross validation, hold-out sample, RMSE, overfitting, bias, …?
Proficient in one or more core data science programming languages (Python or R) and the ability to become functional in emergent languages and APIs as needed (Java, Scala, …).
Practical experience of building a full cycle machine learning engine from cleansing data to training and hyper parameter optimization to methods for evaluating the accuracy to identifying the ways to improve the accuracy of the model.
Exposed to and experienced with state-of-the-art machine learning toolkits such as Spark ML, TensorFlow, scikit-learn, xgboost, … preferably in Big Data frameworks (e.g. Apache Spark).
A self-learner with capability to switch from the independent contributor and leader of the project to a collaborative contributor on the team (and vice versa) depending on the demand of the project and availability of the resources.
Collaborate with stakeholders, partners and clients to ensure that all parties are aligned and supportive of the project's priorities, requirements, timeline and objectives.
Familiarity with the MapReduce paradigm and Apache Spark project.
Proficient with SQL as a means of gathering data from relational databases.
Practiced data manipulation and mining of structured and unstructured data.
Experience in visualizations for business stakeholders using a variety of visualization tools from MS Excel, libraries in R/Python.
Familiarity with AWS ecosystem is a plus.
It is the policy of Meredith to provide equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, Meredith will provide reasonable accommodations for qualified individuals with disabilities.
Meredith participates in the federal E-Verify program to confirm the identity and employment authorization of all newly hired employees. For further information about the E-Verify program, please click here: http://www.uscis.gov/e-verify/employees
#NMG#"
